일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
2020-04-14,1857.08,31.32,1.72,1846.41,1864.46,1837.17,886766.0,9995854.0,1248940314.0
2020-04-16,1857.07,-0.01,0.0,1839.51,1862.23,1828.13,878338.0,10710793.0,1248881506.0
2020-04-17,1914.53,57.46,3.09,1893.31,1926.02,1893.19,1667460.0,14127722.0,1287911931.0
2020-04-20,1898.36,-16.17,-0.84,1908.34,1925.25,1893.17,1087463.0,11915932.0,1276932686.0
2020-04-21,1879.38,-18.98,-1.0,1886.78,1898.32,1841.66,1174294.0,13863164.0,1263694526.0
2020-04-22,1896.15,16.77,0.89,1855.51,1897.9,1844.85,820360.0,9428673.0,1274786181.0
2020-04-23,1914.73,18.58,0.98,1907.45,1923.53,1895.98,683720.0,9124272.0,1287024851.0
2020-04-24,1889.01,-25.72,-1.34,1906.07,1908.29,1880.71,933917.0,9647344.0,1271159367.0
2020-04-27,1922.77,33.76,1.79,1897.06,1929.82,1894.62,735663.0,8171669.0,1293318257.0
2020-04-28,1934.09,11.32,0.59,1931.25,1941.79,1911.63,1173476.0,10375078.0,1300504429.0
2020-04-29,1947.56,13.47,0.7,1936.89,1957.51,1934.31,1984182.0,10525129.0,1309179248.0
2020-05-04,1895.37,-52.19,-2.68,1906.42,1918.66,1894.29,1146855.0,10261902.0,1274213042.0
2020-05-06,1928.76,33.39,1.76,1919.45,1928.76,1902.55,1082527.0,8550701.0,1296556106.0
2020-05-07,1928.61,-0.15,-0.01,1922.0,1938.5,1918.57,775658.0,7383335.0,1296095633.0
2020-05-08,1945.82,17.21,0.89,1944.94,1956.89,1942.54,784773.0,7941568.0,1307404236.0
2020-05-11,1935.4,-10.42,-0.54,1953.51,1960.46,1932.87,591283.0,7752761.0,1300769234.0
2020-05-12,1922.17,-13.23,-0.68,1938.62,1938.62,1905.17,799930.0,9681897.0,1291568130.0
2020-05-13,1940.42,18.25,0.95,1897.5,1940.42,1897.24,618784.0,9012308.0,1303464008.0
2020-05-14,1924.96,-15.46,-0.8,1922.44,1931.43,1913.49,760646.0,9469021.0,1292884145.0
2020-05-15,1927.28,2.32,0.12,1937.63,1938.59,1913.21,866357.0,9723313.0,1294619578.0
2020-05-18,1937.11,9.83,0.51,1934.51,1943.07,1921.14,761696.0,9394307.0,1301926005.0
2020-05-19,1980.61,43.5,2.25,1977.47,1983.77,1968.59,773415.0,11918300.0,1331835812.0
2020-05-20,1989.64,9.03,0.46,1972.12,1992.2,1972.12,699447.0,8248632.0,1337699454.0
2020-05-21,1998.31,8.67,0.44,2003.2,2004.95,1993.0,601199.0,8636998.0,1343561078.0
2020-05-22,1970.13,-28.18,-1.41,2001.6,2002.65,1961.4,847467.0,9509772.0,1324302793.0
2020-05-25,1994.6,24.47,1.24,1980.51,1994.9,1967.84,641459.0,7960325.0,1340826177.0
2020-05-26,2029.78,35.18,1.76,2001.0,2029.89,1997.94,1017804.0,12545314.0,1363735034.0
2020-05-27,2031.2,1.42,0.07,2027.9,2043.44,2019.82,1178848.0,12635098.0,1364678863.0
2020-05-28,2028.54,-2.66,-0.13,2047.08,2054.52,2003.75,1172134.0,14479213.0,1363293486.0
2020-05-29,2029.6,1.06,0.05,2018.37,2038.89,2006.62,1086215.0,14084590.0,1363450451.0
2020-06-01,2065.08,35.48,1.75,2037.04,2065.38,2035.63,997348.0,9839657.0,1387477879.0
2020-06-02,2087.19,22.11,1.07,2061.45,2089.43,2059.14,1000332.0,10232917.0,1402057228.0
2020-06-03,2147.0,59.81,2.87,2108.55,2156.55,2107.69,1152001.0,16998832.0,1442871666.0
2020-06-04,2151.18,4.18,0.19,2181.64,2191.0,2139.68,1393308.0,16034002.0,1446260120.0
2020-06-05,2181.87,30.69,1.43,2151.17,2187.25,2138.18,854591.0,12778906.0,1466769477.0
2020-06-08,2184.29,2.42,0.11,2215.6,2217.21,2174.96,854035.0,13145519.0,1468714984.0
2020-06-09,2188.92,4.63,0.21,2206.23,2212.17,2166.01,817085.0,14689861.0,1472051666.0
2020-06-10,2195.69,6.77,0.31,2187.91,2200.68,2178.12,706294.0,12888183.0,1476712868.0
2020-06-11,2176.78,-18.91,-0.86,2184.36,2200.72,2148.51,827381.0,16987058.0,1464392590.0
2020-06-12,2132.3,-44.48,-2.04,2088.24,2137.12,2084.63,689897.0,14960781.0,1434087758.0
2020-06-15,2030.82,-101.48,-4.76,2114.41,2129.67,2030.82,1072278.0,18242465.0,1366175254.0
2020-06-16,2138.05,107.23,5.28,2091.09,2138.08,2079.02,973639.0,13837057.0,1437701364.0
2020-06-17,2141.05,3.0,0.14,2133.18,2154.37,2105.26,927516.0,15458440.0,1440025502.0
2020-06-18,2133.48,-7.57,-0.35,2134.35,2145.13,2120.29,767184.0,11089871.0,1435518023.0
2020-06-19,2141.32,7.84,0.37,2153.09,2153.57,2108.91,1079453.0,12300498.0,1441080603.0
2020-06-22,2126.73,-14.59,-0.68,2126.38,2142.88,2122.1,789372.0,10098315.0,1430718937.0
2020-06-23,2131.24,4.51,0.21,2149.13,2158.15,2110.51,917567.0,13496081.0,1433435233.0
2020-06-24,2161.51,30.27,1.42,2145.93,2171.86,2143.91,913896.0,13324798.0,1453951201.0
2020-06-25,2112.37,-49.14,-2.27,2130.45,2143.33,2112.37,1017721.0,10692627.0,1420866478.0
2020-06-26,2134.65,22.28,1.05,2137.47,2142.04,2115.25,761044.0,9821160.0,1436168481.0
