key_title,key_rdate,key_cont
경기 회복기 투자전략…삼성전자는 '롱' TSMC는 '쇼트',2020.12.02 17:13,글로벌 투자자들은 경기 흐름에 따라 반도체 대표주인 삼성전자와 TSMC 투자 비중을 조절한다. 코로나19 이후 전 세계 경기가 회복되면서 ‘삼...
"""역시 반도체株""…삼성전자·SK하이닉스 동반 강세",2020.12.02 09:35,국내 반도체 산업을 대표하는 삼성전자와 SK하이닉스가 강세다. 간밤 뉴욕증시에서 나스닥지수가 역대 최고가를 기록하는 등 상승세가 이어져서다. 2일 오전 ...
(마감)코스피 기관 2675억 매수 우위,2020.12.01 15:37,한경닷컴
 (30일) 대림건설 등,2020.12.01 00:44,▲대림건설=계약금 1164억원 규모 경기 양주 공동주택 신축공사 수주. ▲삼성중공업=오세아니아 지역에서 계약금 2062억원 규모 LNG선 1척 수주. ▲에이엔피=유상증자 신주발행가...
"한국증권금융, '개인대주 접근성 개선' 관련 토론회 개최",2020.11.30 11:08,"한국증권금융은 내달 2일 '개인대주 접근성 개선'을 주제로 증권업계 토론회를 개최할 예정이라고 30일 밝혔다. 토론회는 개인의 공매도시장 참여와 관련해 학계, 업계 ..."
"코스피, 이틀째 최고가 경신…""외국인 자금 유입 이어질 것""",2020.11.27 15:52,코스피지수가 이틀 연속 사상 최고가를 경신했다. 외국인이 순매수를 지속하면서 증시를 끌어올린 결과다. 27일 코스피지수는 전날보다 7.54포인트(0.29...
"뉴욕증시, 휴장…폭스바겐 2.43%↓[간밤 해외시황]",2020.11.27 07:48,간밤 뉴욕증시가 추수감사절로 휴장인 가운데 주요 유럽증시는 차익 매물이 출회되며 약보합을 기록했다. 26일(현지시간) 영국 런던 증시의 FTSE100지수...
네이버+카카오+쿠팡+배민 합쳐놓은 플랫폼株가 있다고?,2020.11.26 14:36,한국과 중국은 세계에서 유일하게 구글 검색엔진이 1위를 못하는 시장으로 꼽혀왔다. 네이버와 바이두의 확고한 지위 덕분이다. 이런 기업이 하나 더 있다. ...
 (26일) 보통주추가상장=대유플러스(전환) 등,2020.11.26 03:11,◇보통주추가상장=대유플러스(전환) 세화아이엠씨(구주주배정)
"가보지 않은 길 들어선 코스피…""외국인 장바구니 주목""[이슈+]",2020.11.25 10:49,"코스피지수가 파죽지세로 연고점을 경신하면서 가보지 않은 길로 들어섰다. 미국 대선 불확실성 완화에 따른 추가 부양책 기대감, 신종 코로나바이러스 감염증(..."
"지붕 뚫은 코스피…""내년 상반기 고점"" vs ""수년간 강세장""",2020.11.24 17:18,‘코스피 2600 시대’가 열렸다. 23일에 이어 24일에도 코스피지수는 사상 최고가를 경신했다. 투자자들의 가장 큰 관심은 앞으로...
"삼성전자, 이틀 연속 신고가 경신…7만원 '눈앞'",2020.11.24 10:04,삼성전자가 장중 최고가를 경신했다. 24일 오전 9시59분 현재 유가증권시장에서 삼성전자는 전일 대비 1800원(2.67%) 오른 6만9300원에 거래되...
"'최고가' 삼성전자 시총 400조 돌파…SK하이닉스, 10만원 탈환",2020.11.23 15:41,국내 '반도체 쌍두마차'로 꼽히는 삼성전자와 SK하이닉스 주가가 급등 마감했다. 23일 유가증권시장에서 삼성전자는 전 거래일보다 2800원...
" 원/달러 환율 1.2원 오른 1,115.5원(개장)",2020.11.23 09:00,/연합뉴스
(마감)프로그램 1447억 매도 우위,2020.11.20 15:34,한경닷컴
코로나에 '빵' 터진 드라이브스루…대형 패스트푸드 기업에 투자하라,2020.11.19 17:47,코로나19는 많은 외식업체들에 타격을 줬습니다. 셧다운 기간에는 식당 문을 닫아야했고 영업이 재개된 기간동안에도 사회적 거리두기때문에 식당 내 수용 인원...
"한온시스템, 폭등…美테슬라, 주가 상승 영향",2020.11.19 10:35,한온시스템이 급등하고 있다. 간밤 미국 증시에서 전기차 업체인 테슬라가 급등하면서 전기차 관련주인 한온시스템에도 긍정적인 영향을 주는 것으로 풀이된다. ...
(마감)프로그램 1996억 매도 우위,2020.11.18 15:36,한경닷컴
 (18일) 신규상장=고바이오랩(348150) 등,2020.11.18 02:53,◇신규상장=고바이오랩(348150) ◇일반공모청약=수성 ◇공모주청약=제일전기공업(하나)
"백신 훈풍에 코스피, 2550선 밟아…개인·외국인 '사자'",2020.11.17 10:01,코스피지수가 상승폭을 확대하며 장중 2550선에 올라섰다. 신종 코로나바이러스 감염증(코로나19) 백신 개발이 가속화되면서 투자심리를 끌어올렸다. 17일...
셀트리온헬스케어 3분기 영업이익 1천277억원…사상 최대,2020.11.16 16:57,3분기 누적 매출액 1조2천406억원…지난해 전체 매출 상회 셀트리온헬스케어는 올해 3분기 연결기준 영업이익이 1천277억원으로 전년 동기 보다 500%...
"2500선 뚫은 코스피…""11월은 강세장, 증시 더 오른다""",2020.11.16 10:17,"코스피지수가 연일 연고점을 경신하며 랠리를 지속하는 가운데 강세장이 당분간 이어질 것이라는 분석이 나왔다. 16일 이은택 KB증권 연구원은 ""지난주 코스..."
'업비트 개발자 컨퍼런스 2020' 연사 및 프로그램 공개,2020.11.13 18:28,블록체인 및 핀테크 전문기업 두나무(대표 이석우)가 오는 30일부터 다음달 4일까지 총 5일간 개최되는 블록체인 개발자들의 축제 ‘업비트 개발...
"교촌에프앤비, '上' 데뷔 후 이틀째 급등…공모가 3배 육박",2020.11.13 09:27,교촌에프앤비가 상장 이틀째 급등 중이다. 13일 유가증권시장에서 오전 9시23분 현재 교촌에프앤비는 전날보다 3000원(9.68%) 오른 3만4000원에...
(마감)코스피 기관 8610억 매도 우위,2020.11.12 15:36,한경닷컴
투자심리 활활…국내 증시 몸집 2032조로 불어나 '역대 최대'[종합],2020.11.11 18:29,국내 주식시장 시가총액 규모가 역대 최대치를 달성했다. 조 바이든 민주당 후보가 미국 대통령에 당선된데다 신종 코로나바이러스 감염증(코로나19) 백신 개...
"'연고점 랠리' 코스피, 2480 뚫고 상승…셀트리온 '급등'",2020.11.11 15:05,코스피지수가 연일 연고점을 경신하며 2480선에 올라섰다. 11일 코스피지수는 오후 2시58분 현재 전날보다 31.77포인트(1.3%) 오른 2484.6...
"국제유가, 백신 기대감에 이틀째 상승…WTI 2.7%↑",2020.11.11 06:39,국제 유가가 신종 코로나바이러스 감염증(코로나19) 백신 기대감에 이틀 연속 상승했다. 10일(현지시간) 뉴욕상업거래소(NYMEX)에서 12월 인도분 서...
10월 채권 발행 67조…전월 대비 8.4% 감소,2020.11.10 10:58,지난 10월 한 달간 국내 채권 발행 규모는 국채와 금융채 등의 발행이 감소하면서 전월 발행량보다 줄어든 것으로 집계됐다. 금융투자협회는 10일 '9월 장외채권시장 동향'에서 지난...
